,year,title,published_at,category,nominee,artist,workers,winner
3638,1979,22nd Annual GRAMMY Awards  (1979),2017-11-28 00:03:45-08:00,Best Recording For Children,The Muppet Movie,(The Muppets),,True
3639,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Instrumental Arrangement Accompanying Vocal(s),What's New,,"Nelson Riddle, arranger (Linda Ronstadt)",True
3640,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Vocal Arrangement For Two Or More Voices,Be Bop Medley,,"Chaka Khan & Arif Mardin, arrangers (Chaka Khan)",True
3641,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Album Package,Speaking In Tongues,,"Robert Rauschenberg, art director (Talking Heads)",True
3642,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Album Notes,The Interplay Sessions,,"Orrin Keepnews, album notes writer (Bill Evans)",True
3643,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Historical Album,"The Greatest Recordings Of Arturo Toscanini - Symphonies, Vol. I",,(Arturo Toscanini),True
3644,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Engineered Recording - Non-Classical,Thriller,,"Bruce Swedien, engineer (Michael Jackson)",True
3645,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Producer Of The Year (Non-Classical),Michael Jackson & Quincy Jones,,,True
3646,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Classical Album,Mahler: Symphony No. 9 In D,,"Georg Solti, artist; James Mallinson, producer",True
3647,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Orchestral Recording,Mahler: Symphony No. 9 In D,,"Georg Solti, conductor (Chicago Symphony Orchestra)",True
3648,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Opera Recording,Mozart: Le Nozze Di Figaro,,"Thomas Allen, Kurt Moll, Lucia Popp, Samuel Ramey, Kiri Te Kanawa & Frederica von Stade; Georg Solti, conductor; Christopher Raeburn, producer (London Philharmonic)",True
3649,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Opera Recording,Verdi: La Traviata,,"Placido Domingo, Cornell MacNeil & Teresa Stratas; James Levine, conductor; Jay David Saks & Max Wilcox, producers (Metropolitan Opera Orchestra)",True
3650,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Choral Performance (Other Than Opera),Haydn: The Creation,,"Georg Solti, conductor (Chicago Symphony Chorus; Chicago Symphony Orchestra)",True
3651,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Chamber Music Performance,"Brahms: Sonata For Cello And Piano In E Minor, Op. 38 And Sonata In F, Op. 99",,"Mstislav Rostropovich & Rudolf Serkin, artists",True
3652,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Haydn: Trumpet Concerto In E Flat/L. Mozart: Trumpet  Concerto In D/Hummel: Trumpet Concerto In E Flat,,"Wynton Marsalis, artist (National Philharmonic Orchestra)",True
3653,1983,26th Annual GRAMMY Awards  (1983),2017-11-28 00:03:45-08:00,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Beethoven: Piano Sonatas Nos. 12 & 13,,"Glenn Gould, artist",True
